,SFH3_HH_d,SFH4_HH_d,SFH5_HH_d,SFH7_HH_d,SFH9_HH_d,SFH12_HH_d,SFH14_HH_d,SFH16_HH_d,SFH18_HH_d,SFH19_HH_d,SFH20_HH_d,SFH21_HH_d,SFH22_HH_d,SFH27_HH_d,SFH28_HH_d,SFH29_HH_d,SFH30_HH_d,SFH32_HH_d,SFH34_HH_d,SFH36_HH_d,SFH38_HH_d,SFH39_HH_d
0,0.1481484168847399,0.0,0.0,0.0701122776667276,0.0,0.0,0.0,0.0,0.0740326670116844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1762540556271864,0.5008497535175751,0.0251575836870404,0.0,0.0
1,0.0131328333086437,0.7175428896188725,0.0,0.1766628335528901,0.6875767871409612,0.0,2.0869707402335305,0.3957754168775335,0.0,0.0,0.0,0.0,0.0,0.1540158609284294,1.0675283106803906,0.0,0.0110771666659249,0.2081659172799851,1.152087943530082,0.1992410825676385,0.0,0.0
2,0.5298418328444167,0.9145193893300164,1.3538233857472757,0.3382310827891031,0.9197814512487946,1.2673100226402283,3.1932402215745808,0.0,0.0438312222454281,0.2123008599970072,2.2154564414554203,1.0028233591291624,0.9519406954765296,0.2953880282931854,0.9251084176858274,1.9161760526869025,0.0111141388999091,0.3517367771360606,1.195783969208929,0.1123459445820916,0.6586527489927091,1.1326900001419906
3,0.6664297485086661,0.7443137783580371,0.5799520275115965,1.1168427233801963,1.7563077745225697,0.0116539722389645,2.415961519961892,0.3892244737519157,0.6222805270459925,0.4235144445154404,3.168904569244374,0.6146556673261846,0.7189613341119565,0.1663216116746265,0.6874679456551862,1.7863890772183746,0.2043661935514871,0.3306783045874699,1.1746164162450363,0.1079069724480308,0.7508339704619504,1.5383117244190632
4,0.3755191088173131,0.927068003198838,0.8563765845404737,0.0709152776294284,0.6896365283542206,1.1047600271622326,3.37876161412134,0.3914093869288766,0.3673758901278182,0.3618567512406245,2.168879198286263,0.7638570844014492,0.6553903878317935,0.2959455285814066,0.6687506087965428,1.3641449196815505,0.0111004166709052,0.2516977226257335,5.060388895183142,0.1129384452925791,0.7942164994319273,1.8525565291881556
5,0.1507491106192267,0.6192961100604798,0.8304329147338867,0.9415246416939616,1.903936310831705,0.011751750005616,3.952525445895741,0.3660743322478412,0.374712526935999,0.3723240832222833,3.159755830764775,0.992732028579712,0.9851773327191692,0.650820055551,0.6830845276276262,2.8634856658087844,0.4680680003537072,0.3747211118698113,3.2304871445390924,0.2181035000032846,0.7270587783945932,1.144074743503995
6,2.4520379132800647,2.901452002724011,3.229583335834079,3.0442336088392468,3.102527663845485,2.1975093893713415,8.726045547930411,2.098878972140947,0.9335891668637597,2.4800568058676213,6.6171434084574186,2.893786803690592,2.3227174143897185,1.8472752242962498,3.23453691328896,4.107930917533235,1.40830119644801,2.463620413419937,5.917256629774306,3.948664654127757,5.707613709926605,5.2258066095246125
7,0.5786413311746393,1.0343050549507156,0.7362231101142038,1.3568103887134095,2.475118253750272,0.0117186944882075,6.129546937391487,0.6588676119910337,0.3108978046682158,0.3876235839552354,2.937971750895177,0.6477603054894359,0.6603756631851191,0.4981431113481512,0.3627674743837786,1.4801155048688246,0.011387222207917,0.2381803046120544,5.6846992394765214,1.4117965277698314,1.0041179695579738,1.603060806046593
8,0.0,0.9190237223307288,0.9110753612942158,0.0710809444215562,0.6854944725884331,1.0991144168615343,2.355336620818256,0.3950148341152403,0.079227056026459,0.3272327499628061,2.877178723865081,0.742240748850504,0.6701240817281937,0.4485510001500447,0.6444821932713191,1.7516425286610948,0.0113600833363003,1.112805918333266,0.0,0.0,1.2899883289204717,1.1417689729531606
9,0.4608443066517512,0.5630208896769399,0.9105188045925572,0.0,1.6495552229139534,0.0114435555564032,3.077306000370445,0.3601413626723802,0.3652347491052401,0.7382933313104844,3.588309797032681,0.9730442766825363,0.8840231112480169,0.3716213056193464,1.3037708593050643,1.7395069765832691,0.2301823612027692,0.2400161945343013,2.455724687923325,2.289162367078994,0.763176225222483,1.1384672767215305
